,id,imdb_id,title,recommendations
20,451,tt0113627,Leaving Las Vegas,"[15059  2039 30231  2625 10445 62131 28320  9784 15556  7520 31421 47359
 10802 30949 10013 31633 19053 18904 12187  1058 28028]"
21,16420,tt0114057,Othello,"[ 82911  44006  10549  10705 137094  13195  14291  11971  23383  13765
 332721  70772 333696  51735  60489  47585    650  65795  15121   3036
  27338]"
22,9263,tt0114011,Now and Then,"[142106  38223  60422  46732    858  39072  31459  41479 388256  18711
   2616   9844  27983  18169   9586   8282   1552  13969  31306   7874
  46972]"
23,17015,tt0114117,Persuasion,"[ 48627 128396  86837  59210  56135 151232  59444  61280  37920  67794
   2977 185156  29339  15121  46563  35690  84303  49680   6620  40724
  38013]"
24,902,tt0112682,The City of Lost Children,"[   892   8078    876  22379  11253  23728  10529 340357     75   9355
   2134  27072  76170  36212  71072  36819  72693   2981 218425   2161
  11551]"
25,37557,tt0115012,Shanghai Triad,"[ 41821   1494  12659  38143  99242 259943  31439  44555    238  10404
     79  45861 400114   1904  39084  47694  10387    240  29363  62976
 399300]"
26,9909,tt0112792,Dangerous Minds,"[ 20762  10994  10220 325346 109809  64688 120520 113175  16664  23483
  18487  30194  33665 324150  65218  11778 112205   9270  19052 154400
  30943]"
27,63,tt0114746,Twelve Monkeys,"[   170  41385   9741   4858    745  15614   2787  86718  28522  72559
   2072 227719  17212 228642  70859  16633 157834   6950   8054   1551
 206487]"
28,47018,tt0112637,Carrington,"[ 53896  12568 392271    424  44125  28200 182756  14872  24397   2625
 284689 104214   5038 329135 449758  22905  82103  31121 153397  18451
 292431]"
29,687,tt0112818,Dead Man Walking,"[ 49803  23954  31005  87496 197611  32274  36950  10608 337154  13715
  63963    322  22449  53774  13536    287  47952  78096  50203  32075
  12834]"
30,33689,tt0113442,It Takes Two,"[ 50327  19186  94228  17745  57789   9820 117878  92848 238748  42424
  11982   6957  43790 310001  14819  12154  98545 191566  13990  11630
   6280]"
31,9603,tt0112697,Clueless,"[ 15019   2039  22958  12435  26686  26180  17127 174311  10642  24397
  11091 353571 408272  15037  21349  24548    696 144340 112885 120942
 121636]"
32,34615,tt0112749,"Cry, the Beloved Country","[151679  75033  42242  28368  31701  41852  29493  17978 189888  12278
   9040   1049 149320   7096 232175   9710   6934   2323  42243  38027
   8842]"
33,31174,tt0114279,Richard III,"[282296   5279   9687  33511  41149  36730  44006 109669   8276  11457
  13251 130055  47724  10087  10368  66775    409  21335 130474  12618
  96921]"
34,11443,tt0112819,Dead Presidents,"[  1595 407448  11422 291851   9516 245527  34158   9664  12528  10479
  10590   7873  18927  11165  12698   4107 348390 142051 139567 297761
  15912]"
35,35196,tt0114272,Restoration,"[ 42567 109970  34019  17903   2734   9058   4254  50203 133200  10433
  31532   1950  16176  61686 258751   9079   3060  14118  39850  65203
  94720]"
36,9312,tt0113855,Mortal Kombat,"[  9823   8011   8009 300803  10350  80215  15767 269100  75948 272634
  39465 173897  76649  94590   5470 198466   9947    848  37430  12594
  76285]"
37,577,tt0114681,To Die For,"[   476   1956    711 133694 109729    489 250650 291351   1665  34444
   9722   2266  10740 245846 184323  10139 291264    468  43939  11252
   9836]"
38,11861,tt0113347,How To Make An American Quilt,"[ 79615   4475   2977  96631 156235  13346   9410  16153    162  41559
  77770  10333  14118  89199  37247  59210  10436   8463   9079  93263
   9302]"
39,807,tt0114369,Se7en,"[ 10909   1949   2043  72094   9437 240733  11081  10871 136911   9481
  24486   6478  46121  10064   4922 219645 389396   8197  43931  26426
  11707]"
40,8391,tt0114916,When Night Is Falling,"[132725  28391  44308   5241  38731  70736   9499  84727   8906  68275
  78177 104810  37606 320007  52345  54898  40767  41927  55151   2046
  75892]"
41,629,tt0114814,The Usual Suspects,"[ 27381 339403  83788  18816  13390 242582  11615  18079   9461   9546
  24479  31692   3432   6478 102362  21878  37753   2118 339692 235092
   2026]"
42,11448,tt0113819,Mighty Aphrodite,"[418772  10440   9716  10739    696  11562   9686    512   5143   2639
   9689   9684   2779   3681 103162  28384  44705  81836    116  81167
  53367]"
43,49133,tt0110299,Lamerica,"[ 10954  42420  47714  48650 166452  59147  76229  96306  31289  34866
  10886  56853  45884  14375  60202  49725  65332  61950  56231    307
  37438]"
44,26441,tt0112499,The Big Green,"[ 42424  32139  71181  13964  74849  11839   2698  27353  14361 333348
  11637  11630  65137  60389  19084  50327   1552 172385  10204  12715
  49519]"
45,97406,tt0113158,Georgia,"[ 20289  41282  26475  11934  11929  32574  52105   9667  23333  10220
  40841  31017 159932   4147  66588  31618 134411 325346    290 209271
 149232]"
46,9089,tt0113321,Home for the Holidays,"[ 12187  61280  84727  10653  25636  54655   9043  10067 121636  46889
   8463  12404   1950  24070  76198  39495   9058   9410  25562   4988
 120942]"
47,11010,tt0110877,The Postman,"[120942  11216 253251  56975 293395 142106  27145   9499  26510  10860
  26686 114790    509  25403   7326 209410  56784  10846   8346  20364
  76853]"
48,99040,tt0112714,The Confessional,"[  5279    322  53404  13251 260947  96921  10795  73952  49087 121875
  64320  41784  29117  22618  56329 225525   2924    547   9729   9315
   9523]"
49,11359,tt0113419,The Indian in the Cupboard,"[ 20899  10204  14499  55534 266647   9593  16176    630 228326  13155
 305638  36355  52485  26119   5255  68728  54318  13836 116711  49519
    672]"
50,17182,tt0116260,Eye for an Eye,"[ 13681   9585  84727   5122  10061  41263  26762  54186 240745  18588
  31017  54940  47493  12690  50677   1835  10650  30155     59  15664
  17332]"
51,2054,tt0113862,Mr. Holland's Opus,"[ 23367  10875  16664 244403  26516  55015  19525 388256 257296   1646
  85472  20762 304410  60895  17450    822  64688 109774  65218 348089
  19052]"
52,19760,tt0118002,Two If by Sea,"[ 53857  85242 152206   9583 275771  40509  33725  31944  31821 144595
 141267  18240   9801 173294  26949  80616  38291   9769  25636 198646
  81871]"
53,4482,tt0113149,French Twist,"[ 15460  77673  77519  21435  80742  14653 102207  76821  11183  77462
  81871  77460 383869   2469 252067  37652  74840   8222  21055  33657
  51447]"
54,755,tt0116367,From Dusk Till Dawn,"[ 36606   8068    680  23631  27381  34995    500 270005   1428   1815
  47312  41857  18420  26789  26682  37835  26762  70581    203  21191
    482]"
55,28387,tt0113537,Kicking and Screaming,"[ 44389  27583  42635  53765   4927  15598   7861  37174  16980 133575
  83994  11557  40243  10642  16643  22897  52741  15361  22958  12435
  31121]"
56,48750,tt0113828,Les Miserables,"[ 72655  20778  22905   4279  12504 374720  38198  11422  83788  34945
  33998  48580 449758  12660    633   1651  18780  41930  35939 130633
    424]"
57,9102,tt0114367,Screamers,"[ 33305  24331   1551  33356 301728  14372  26912   9035  10658  11379
  34812  40041  70247  25977  57190   5491  11954  25021   3122 274870
  57597]"
58,27526,tt0112744,The Crossing Guard,"[  2075   5955  10207   6075  11595   8944  34130  14882  38295  31640
  38714  11027   9386  14469 128270  32029  14886  25528   4475  25572
   9464]"
59,9623,tt0116731,The Juror,"[302401   9366  13195  10132    253   4478 328796  13072  43539  36773
  87677   2100   8984   9008 285783  28520    575   7510   3432 189215
 399790]"
60,400,tt0114660,Things to Do in Denver When You're Dead,"[ 46027 241554  32669  14786 103299  24153  61418   7514  13641  48838
  47448  17443  22828  18680 243935  11595  15542   3432  10322   9700
   4816]"
61,880,tt0112379,Antonia's Line,"[ 90503 184323    633   9075 209414  27029   2753  10821  35016 306547
 137182  35939  50849  31623   5822  24524 411656 330697  13503   2253
 154972]"
62,146599,tt0114039,Once Upon a Time... When We Were Colored,"[149154 265349  32273  20302  25781  51177  42618 337958  85941  84050
  40777 191421  60708  38093  15598  33682  62008 325373  15936 304850
   1833]"
63,8447,tt0112365,Angels and Insects,"[ 47724 251232  19214 108994  43902  83099 158219  24397 259171  43798
  12184  38621  10543  43452  18904 355890  53113   6440  54000   5279
 147722]"
64,10534,tt0118158,White Squall,"[  4421   1495 293633   6951  31947 147441 146679   1644  91422  32122
  43450   1492  24356  11169   7270  16331  73952  29244  64079 120520
   7015]"
65,9095,tt0117002,Mary Reilly,"[ 71943    859 375366  42084    806  10998  22971   4823   3022  24016
  71945  31618  29787  32067  72272 105737  33018   8346  30624  32058
  24786]"
66,12158,tt0114825,Vampire in Brooklyn,"[  9602   9713  26149  12521  59962  79896   9327  11066  25571 319340
  15482   9085  38317  37757  12525  71943  10070 390422  17915  95820
  11596]"
67,9283,tt0115639,Beautiful Girls,"[ 11191  45069   2313  67307 290762   6396  24071  26510  93350  33657
    392 120942  16980  80585 140897  11068  31911  74052 356300 353070
  74692]"
68,9208,tt0115759,Broken Arrow,"[19728  7305 15807 10782   754  9770 17761  9972 11866 18886 47737 14815
 38099 87514 10274 17496 42040 52859 11955 33796   494]"
69,40154,tt0113403,A Midwinter's Tale,"[ 10549  11971 141476  16420 295049 315319  11498  46754  24436  10705
 118887 137094  11790  61550  17770 224600  63639   9466 168217  82203
   1815]"
70,406,tt0113247,La Haine,"[ 76609  39641  34068  15362  60670 384371  68734 115173 211166  44214
 324668 338189   6173   8999  86232  26280   6016  10209 316885   4734
  60708]"
71,45549,tt0111173,Shopping,"[   395  44680   9911  18002   7299 173897  26656   1946  25967  22613
  51620  76757  18394 228066    173  36349  13811   9425   1551  49230
  10596]"
72,63076,tt0113283,Heidi Fleiss: Hollywood Madam,"[ 13907   9714 289575 253120  26750  17813   9594  16986  43340 124074
 318224  13362   9561  33375  49935  63418   9456   3064  33214  86284
  30586]"
73,11062,tt0115907,City Hall,"[ 11458   9040    968    242  12150  13389   8838  41209   6075 321497
  55989  32076  10711   9910 242076  32274    290  70709  28943  61462
  43267]"
74,47475,tt0117102,Mr. Wrong,"[ 33657  83754  41469  46029   4806  11472   4952  84333   1073  24071
  79521   9499  47880  81871   1859   4104  20648  32274 406042   6557
  73770]"
75,2045,tt0118040,Unforgettable,"[ 68812  18553   1551  25284  10447  50225   9636  12994  20620  10329
  70859   2312 245916  19974  39473  19126  14561  27709  20482  28047
 173980]"
76,688,tt0112579,The Bridges of Madison County,"[ 21866  20006     66  15393  37917   8879   9559  28761     70   9573
  20187  10015  10747  11901  10650  17689  10354     33 209451   6723
   8197]"
77,11907,tt0110251,Nobody Loves Me,"[  8556   8951  42293  76853  16452   9010  39800  17575  11966  37700
 142106    552   8336  17008 266044 336199  19413  42986  31459    742
  71864]"
78,10874,tt0117110,Muppet Treasure Island,"[ 26612  38717  11176  14900  43605  29339 207720  32067  94894   6646
  11509  62422  11774  13637   9016  22613  29122  49505  55567  81870
    134]"
79,89333,tt0112646,Catwalk,"[138217 276137 237960  61462  59974  85047  37835    292  11401   3586
 203766 376261 316098  38868  75063  13259 133441 130824 171232  45274
  72841]"
80,197,tt0112573,Braveheart,"[ 10590  11646   2024 324786    615  10502   8834   2669  80389   8929
  10264  11422  11856  10479 188826  31179  10705   1727   1495  31675
   3595]"
81,103,tt0075314,Taxi Driver,"[   203  12143  13389  37835  13536  13201  32077 102362    524   7944
   9040    262  66043   2142  16153  61462   1607 270005  12473    240
  32076]"
82,43566,tt0115645,Before and After,"[ 20511  18869   9585   1770  11615  28211  33851  12502   1945   4421
  32074 157351  12623  82136   1645 256687  75174 102931  15764 275601
 321497]"
83,71754,tt0113774,Margaret's Museum,"[ 39940   8293  45609    550 108843  51859  76857  15956  24985  82695
  43822 150689  85941  10264   7096 245168  71181  54795  24807  44705
 441483]"
84,43612,tt0112556,Happiness Is in the Field,"[  2029    219  86889  75944  43449 210938 382597  16204  48216  83588
 389972  81342 149851  38031   4266  55035  17806  39412  49096  41779
  75491]"
85,51352,tt0112373,Anne Frank Remembered,"[200157  59974  97537  58517 291863  19665    836  89049 223195  37588
   3036  10549  10705   7872 137094   9901 158939   5473 178541 276137
  77223]"
86,16934,tt0115033,The Young Poisoner's Handbook,"[ 37438  50030  46995  27112 340481  10154  66043  81312  18129  20481
  71940   4683 132426  94771  14886  77765  21135  20123  10083  49207
  11293]"
87,78406,tt0114536,Steal Big Steal Little,"[336652  28053  50006  25659 142106 276839 296313  47952  59435 209410
  13090    773  91607  45708  16019   4475 377275  39800 265189 265189
 265189]"
88,55731,tt0117427,Race the Sun,"[ 26156 388256  34745  12839  16664  20762  44680  29694  23367  50203
  27201   1406   4643  40562 142499 417427 349176  64688 110553  49230
  18598]"
89,11066,tt0103859,Boomerang,"[ 3981  9713 20678  6522 42371  9801 14874 12435 16094  9602 28121 20337
 13490 83361 54407 39927 38295 11469 76754  6620 81871]"
90,11104,tt0109424,Chungking Express,"[   844    843  40751  45379 188538  11782  24163  56830  52947  69727
  10265  11220  18329  44055 294991   4254  11198  30112 319632  41198
  44458]"
91,37975,tt0114808,The Star Maker,"[ 16729  11216 121642  42790  25846  76350  19223  73600  18503  37174
  58658 103785  18904  22915  13132  37636  24185  22279    870   8906
 413882]"
92,27793,tt0110647,The Neverending Story III: Escape from Fantasia,"[ 34584  49521 134777 315465  14239   2280   9821  14517    607  26514
    118   2255   9073  82430  17994   3587 294795  41402 361571   5255
 264644]"
93,44284,tt0111055,The Silences of the Palace,"[304850 340481  13825  44099   9953  56624  61266  23488  24881  44308
  10083   1481 107767  51520  35337 132725   8065  21135  56440  16204
  37025]"
94,110972,tt0114131,Pie in the Sky,"[ 20648  18082  75802 319632  91122  81312  29538 339397  17912 312669
   9889  21055  81871  10804  79221   8986  61113 352025   9833  20857
 222899]"
95,32622,tt0112364,Angela,"[212231  24955  47171 215299  42456 120522   9375  21033 190950  12689
  13346  82698  24469  77925  83079    129  22538  39424  33272   2082
  10543]"
96,73067,tt0113107,Frankie Starlight,"[ 82966  36709  17044 109970 237202 119926  31932  45608  15598  51426
 128154 154972   3060  11778  26864  22067  27367  70489  59424 120942
  28966]"
97,11863,tt0113451,Jade,"[ 25284 134458  72432  38617    402  99749  10990  78504   4922 116997
  14412  70190  44414   2212  11983 139567  71204   8984  66592 298158
   4893]"
98,55475,tt0114015,Nueba Yol,"[337154 121636  12435   9261   4564 206408  29501  41209  14030  38073
 101226 258480  26889  16980  28665  13201 229559  19616  61016   1406
 288788]"
99,123360,tt0113125,From the Journals of Jean Seberg,"[ 46105 279634  99600   4494    618  15681  25626 185476  49788  11307
 111836  81442  56500 194537  51735 140008  39061  76850    307  41787
 127853]"
100,9302,tt0118055,Up Close & Personal,"[   547  10236  61686  24584 109970  20364  14736  66597  10395  49683
  15019 120942  10525  85654 124857  37774  14410 114790  12220  10333
  50203]"
101,11000,tt0115685,The Birdcage,"[16784 20211 31600 37943 35233 30653 18360 11472 12503 20178 28466 11306
 11099 41923   592 22414 46924   396 50359  7095 31610]"
102,249882,tt0113200,Virgin Mary,"[ 66043  28553  10673 101307  32076  77861  11765 155459  50225  43460
  28614 131194  31903  41927  18050   6163 144326   9087 319632   4351
  43626]"
103,16388,tt0112585,The Brothers McMullen,"[ 93350  34167  14963  26225 127916  11363  31016  20065  16643   6557
  12435  82136 121636   9261  10077  94348  12530  17439   1406   4564
   1581]"
104,9737,tt0112442,Bad Boys,"[  8961 346646   6522   3432  15698  20794 277967  65156   8860  19143
  35201  11595 308165  57019  68812  28263  31035  13490  73770  11469
  17590]"
105,10474,tt0112461,The Basketball Diaries,"[  2001   1422  85889   9366 106646  45317  84847  13201  13005  64682
   8490 191104    640  77866 152736    769  21219  23148  97340  13197
  11324]"
106,22279,tt0112427,An Awfully Big Adventure,"[   712    634    313 252067   4584  13005 140008  39286  17990  37658
    508 283227  77280 260969 207937  31944  42010  41187  44009    859
 333696]"
107,30157,tt0109093,Amateur,"[ 98203 102362 277967  29920  37291  10843  47802  39415  56935   5333
  18612  73027 323426  57019   9844  37410  24200  25636  14886  22242
  18079]"
108,568,tt0112384,Apollo 13,"[   921   9591  59861  52323    820   5257  16385  22167   8438  30983
   9609 240745     13  79040  12690   2067   4965    640   6538 109424
  53774]"
109,11780,tt0114287,Rob Roy,"[ 47676   1945  44664  46915 113175  75250  42779   8005   1788  27331
  33436 276137  19621  11027  12138  71181 119617  24767  36759  72087
 406992]"
110,414,tt0112462,Batman Forever,"[   415  49026    268    155    820 277388  19727    272  53157   8053
  10398  41154  64202  25137    364 290751  13051 112205  13012 278924
  36349]"
111,649,tt0061395,Belle de Jour,"[ 36245  63176  43460  57448  40652  35717  31299 166883  11876  27112
  84427  12266  59847  39042   1651   5558 156015   1719   4599  10209
 329819]"
112,1873,tt0112495,Beyond Rangoon,"[   638 289314  68744  11368  35076 133694  61807  56077  13536  26748
  47199   7442   9585  10866  49981   2212  77223  53487   4944   1592
   8324]"
113,8839,tt0112642,Casper,"[  4579  78696  83903  15974   6283   3587  96631  13680  15138  10154
 282268  12129  59444  53780  11340 266647  43103 360737    118  45325
  27361]"
114,20649,tt0112688,Clockers,"[  1883  34152  20912   1713  12143  10220  41823 270005  10169  22527
  18420   1429  67025  68744  33729  13536  18487  27381  68812  12412
  24909]"
115,10329,tt0112715,Congo,"[ 70859  13811    876  10596    869  12994   1551  49230  44680   8338
    322   9620  14235  43935  65118 335988  11099  51104  48492    200
   7305]"
116,8963,tt0112740,Crimson Tide,"[ 18487  37943  44048  31600   9798   2034   9411  10083   7551 393457
   9882   9509  14047 334533  37835  25224  64079   1669  28029   2100
   9057]"
117,26564,tt0109508,Crumb,"[103162  39772  27441  25509  41189  20942 106017  37774   9433  45520
   4809  49803  22618  32077  49683  44098  87496 369524  64831 191550
   2897]"
118,8068,tt0112851,Desperado,"[  1428  23631    755 106747  26263   9488   9331  26682  12647  14854
  14979   9461  38365  82525 337339  22479   2061 139567 102362  28699
    189]"
119,8512,tt0112857,Devil in a Blue Dress,"[ 26522  64450 108312  10990  35954  10684  34945  28290  13754   2034
  80849  88812  11324  77765  22905  42600  85941  49365  35939 449758
   9729]"
120,1572,tt0112864,Die Hard: With a Vengeance,"[   562  47964   1571    479  32080  11384 325346  10782  10889    290
   9882   3116   1573  41209  30922    494    680   2124  11107   9333
  37835]"
121,6520,tt0113071,First Knight,"[ 19957  10786  42040   4476  14073  64882 258751  39695 263341 381418
  26175 207937 188207   2981  13491  18175 101185  16902 109279  20893
 253251]"
122,9073,tt0113114,Free Willy 2 - The Adventure Home,"[  1634   9036  27793  57683   2756  14252   9359  19342   9366   3109
  13153  20789   7326  72460 296524  30999 105077  47342  10596  33430
  11459]"
123,10428,tt0113243,Hackers,"[  2072   9846    860   9705   9989   1557  63930  37799    179  92484
  18002  78507  57219 380808   8909   9461 267860   5820   9415  21489
 180863]"
124,9886,tt0113481,Johnny Mnemonic,"[ 12123  76544   3509   1689    605  10200 316154 245891  49530 383121
   1551    603  24750  64686   1813  12656   9381    327   4296    876
  21138]"
125,9482,tt0113492,Judge Dredd,"[112090  72086   3604    180  23916   3418  76403  17360  13161  22379
  10856  32985  11188  29453   9063  49521   9739   2428  53172   9646
  31915]"
126,8973,tt0113690,Lord of Illusions,"[ 12142  43566  28377   4421  32074  11343 169917  63081   9457  15979
  99261  19599    635  25051  11601  16764  44414  14435  14098  10795
  11586]"
127,15730,tt0107447,Love & Human Remains,"[ 47302  35066 253251  47952   4927  39800  44009  81434  15186 296313
  14843  31016  24363   6620  11752  11752  28938 140897  14166 434166
  48967]"
128,47608,tt0113729,Mad Love,"[ 52360  16980  19844 100057 106143 183339 429698  21873  85948   1956
  59444  70916 410348 290762  72753 109667 417427  50725  82693  20813
  26949]"
129,68274,tt0113851,Moonlight and Valentino,"[ 10215  45156  93350  18169  10788 120942  10013  50203  63334 140897
   2075 112200  28200  10362 253251  10647   3573  10403   9842 387252
  18074]"
130,48787,tt0110604,Mute Witness,"[111836  36133   4494 330629 279634  99600  14310  81442  25626  46105
  18394  39061 190496  69428 185476   1284    307  77560 365187    786
  76850]"
131,1642,tt0113957,The Net,"[  9834  31692  28415 241554  13536  13197    506  45757  25690  13913
  42636  86231   2017 102362  19616   2924   5279 152603    573 108432
  37719]"
132,11472,tt0113986,Nine Months,"[ 11597  20211   4475  33657 289727   9895  47475    788  55144 157851
   5769   9397  11099    177   9836  24438   4104  20682   9310  11000
   9465]"
133,11980,tt0114194,The Prophecy,"[  9011  10263   9529  18781  28774  11618  10728  15979  10041  46261
 343371    507  11336  47655  40064  41925 369033  68757 301804  25943
  49126]"
134,32646,tt0114323,Safe,"[ 10712 306745 157823  41843 340487 161495  27176 284293 352237  28211
 202241   1411   3902  11853  52817  41578  87992 157851  14597    334
   2260]"
135,10533,tt0114345,The Scarlet Letter,"[ 56448  27441  85638   4478 205587   2895  41843  16425    547  12660
  32077   3870 101185  37774 111839  79698  18169  11416  26175  20942
  62729]"
136,10802,tt0114436,Showgirls,"[   524  60994  30231 180576    240  38743  98545 229094    451  49683
 110598  78571  52036  47260 291356   1950  14874 120653  14207   1058
 158907]"
137,10149,tt0114478,Smoke,"[ 17379 174311 285844  65534 382509    164  78571 270005  19430 271714
  49323   2771   4676  94344  42848  95375  13141  68713  54557 149763
 126781]"
138,18402,tt0114496,Something to Talk About,"[ 27441  13156   9294  10871   2895 228108  12890  78461 381289  30814
   7353  16425    651  52109  92389  56448  31671  75596  12187  12623
  32077]"
139,9348,tt0114508,Species,"[  1702  15212  76403  10016  44932  13025  25021   9711 329865   8452
  37707  15166 168705 339530    679 292830  28169  12476  13022  34812
  19901]"
140,139408,tt0114534,The Stars Fell on Henrietta,"[147106  27441  20815   2895 168399    137  16425 125313  11705 324333
  25232  72087 212756  52777  32077  69605  13197  10819  11509  41774
   4104]"
141,281,tt0114558,Strange Days,"[   686   1551  70859    241  49559   9063  35694  53094  57012  12123
   8843  32228   8289  24567  17100    782 301875 206292  26332  14620
  11468]"
142,79593,tt0114666,The Tie That Binds,"[ 12255 288503 136134   1772    521  49126  14252  46727  31941 152748
  29825  31694  26973  26286 100669  10673   1942  33280   9695 226630
  42084]"
143,47939,tt0114663,Three Wishes,"[  1049   8967  38714  14832 103299  38766  85948  96912 195763   9869
  32488  83980  31535 157370   7095  44999   9754 254323     88  22492
  86360]"
144,36834,tt0114702,Total Eclipse,"[  4148  18904   2977   9499    454  13132  25968  26506 103640 288788
  60994  47493  43879  64682  50435 266856  10236  43750  27724 287422
 252067]"
145,9090,tt0114682,"To Wong Foo, Thanks for Everything! Julie Newmar","[ 64079    290  23210  42648  85047  39349  35612  11517  10158  39016
  10739  11384   9396   1406  10021  61462 325346  17806  10283    292
  11107]"
146,3512,tt0114781,Under Siege 2: Dark Territory,"[  8845  10167  17317  17314   9624  18248  14452  14289   2320   9395
 332976  24546  17629  94348  46103  24351  57019  38950  10322  18070
  10877]"
147,9560,tt0114887,A Walk in the Clouds,"[ 30298  27367  34945 392271  50849 449758  25037 113456  61485  22905
  52440  35939 168496   4820  17044  11422    633  84079  18780  88812
  63186]"
148,9804,tt0114898,Waterworld,"[ 49521   2055  18153   9922    581  53000   8367  14869  10447  11362
 214717   1865  12138 302156  10083    820 137094 401689  11509  68818
  32387]"
149,65796,tt0114938,Wild Bill,"[ 14729 103413  31947  14117  66035 167262  58995 338766  12528  22201
 120520   1644  10534 291851  10804 184341  11028  40841  20287    995
 152748]"
150,49805,tt0109340,The Browning Version,"[ 15059  15163 180576  17190  17236  18215  17622 294600  40929    993
  52038    451  12568  57683 139058  30069  64084  56295  12150  42188
  29825]"
151,50797,tt0111579,Burnt by the Sun,"[ 38318  38361  20714  51300  65839  38837  59529 188505  68553  47851
  25050  39395  29339  32336  31078 319986  37920  55717  18475  10653
 142808]"
152,19155,tt0110882,Before the Rain,"[284689 110919  50849  72996    143  70804 104430  64735  94664  11876
 121830  41205 246882  13507 354287  48580  62678  85840  47435  11422
  47952]"
153,76,tt0112471,Before Sunrise,"[132344 258751   9081  85350  61686 120942 117142 230722 381418 140229
   2457  45608    870   3060  15451 350845  70489  58646  10219 253344
 391004]"
154,9382,tt0112571,Boys on the Side,"[337154  39282 103597   1406  16162  37835  41209  78133  26686  16980
  49299  39130  61016  10021 406204  77583  12616 335797  68274   9504
  10403]"
155,6715,tt0112757,The Cure,"[ 24086  45325 331393  22796  14597 388256  43937  74626  44415 261433
    507  53765  39938   1548 336000  37609  44540  36447  42489   9517
 207655]"
156,18256,tt0112643,Castle Freak,"[   931  44839  49126  40130  33018   4772  65300   1813   9913   9884
  71945 229154  43931  29129  10866  77571  71943   9315  34335  98027
  21619]"
157,22625,tt0112679,Circle of Friends,"[144982  11130  69605  67089  52629  34653  64015  46869  10642  68430
  52088  61035  13703 167153    705  38697  69560  26949  18098  45153
  26475]"
